Using the result of 'hadoop classpath' to augment the Hadoop classpath: /usr/local/hadoop/etc/hadoop:/usr/local/hadoop/share/hadoop/common/lib/*:/usr/local/hadoop/share/hadoop/common/*:/usr/local/hadoop/share/hadoop/hdfs:/usr/local/hadoop/share/hadoop/hdfs/lib/*:/usr/local/hadoop/share/hadoop/hdfs/*:/usr/local/hadoop/share/hadoop/yarn:/usr/local/hadoop/share/hadoop/yarn/lib/*:/usr/local/hadoop/share/hadoop/yarn/*:/usr/local/hadoop/share/hadoop/mapreduce/lib/*:/usr/local/hadoop/share/hadoop/mapreduce/*:/usr/local/hadoop/contrib/capacity-scheduler/*.jar
Cluster configuration: Standalone cluster with JobManager at localhost/127.0.0.1:6123
Using address localhost:6123 to connect to JobManager.
JobManager web interface address http://localhost:8081
Starting execution of program
Submitting job with JobID: 75d4cb4c473ffb4dbc1124ebe1973139. Waiting for job completion.
Connected to JobManager at Actor[akka.tcp://flink@localhost:6123/user/jobmanager#1284012604] with leader session id 00000000-0000-0000-0000-000000000000.
05/22/2018 13:52:40	Job execution switched to status RUNNING.
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to SCHEDULED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to DEPLOYING 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to RUNNING 
05/22/2018 13:52:41	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to FINISHED 
05/22/2018 13:52:41	Job execution switched to status FINISHED.
("Baton Rouge Metropolitan, Ryan ",Baton Rouge)
(Auburn Municipal,Auburn,WA)
(Auburn-Lewiston Municipal,Auburn-Lewiston,ME)
(Auburn-Opelik,Auburn,AL)
(Audubon Municipal,Audubon,IA)
(Augusta Municipal,Augusta,KS)
(Augusta State,Augusta,ME)
(Aurora Memorial Municipal,Aurora,MO)
(Aurora Municipal,Aurora,NE)
(Aurora Municipal,Chicago/Aurora,IL)
(Aurora State,Aurora,OR)
(Austin,Austin,NV)
(Austin Municipal,Austin,MN)
(Austin Straubel International,Green Bay,WI)
(Austin-Bergstrom International,Austin,TX)
(Autauga County,Prattville,AL)
(Avenger ,Sweetwater,TX)
(Avery County/Morrison ,Spruce Pine,NC)
(Avi Suquilla,Parker,AZ)
(Avon Park Municipal,Avon Park,FL)
(Babelthoup/Koror,NA,NA)
(Bacon County,Alma,GA)
(Bagdad,Bagdad,AZ)
(Baker City Municipal,Baker City,OR)
(Baker Muni,Baker City,MT)
(Bakersfield Municipal,Bakersfield,CA)
(Baldwin County,Milledgeville,GA)
(Baltimore-Washington International,Baltimore,MD)
(Bamburg County,Bamburg,SC)
(Bandon State,Bandon,OR)
(Bangor International,Bangor,ME)
(Banning Municipal,Banning,CA)
(Baraboo - Wisconsin Dells,Baraboo,WI)
(Baranof Warm Springs SPB,Baranof Warm Springs,AK)
(Barber,Alliance,OH)
(Barkley Regional,Paducah,KY)
(Barnes County Municipal,Valley City,ND)
(Barnes Municipal,Westfield,MA)
(Barnesville - Bradfield,Barnesville,OH)
(Barnstable Mun Boardman/Polando ,Hyannis,MA)
(Barnwell County,Barnwell,SC)
(Barstow-Daggett,Daggett,CA)
(Barter Island ,Kaktovik,AK)
(Bartlesville Municipal,Bartlesville,OK)
(Bartow Municipal,Bartow,FL)
(Barwick-LaFayette ,LaFayette,GA)
(Bassett Municipal,Bassett,NE)
(Batesville Regional,Batesville,AR)
(Battle Mountain,Battle Mountain,NV)
(Baudette International,Baudette,MN)
(Baxley Municipal,Baxley,GA)
(Baxter County Regional,Mountain Home,AR)
(Bay Bridge Industrial,Stevensville,MD)
(Bay City Municipal,Bay City,TX)
(Bay Minette Municipal,Bay Minette,AL)
(Bayport Aerodrome,Bayport,NY)
(Beach,Beach,ND)
(Bear Lake County,Paris,ID)
(Bearce,Mount Ida,AR)
(Beatrice Municipal,Beatrice,NE)
(Beatty,Beatty,NV)
(Beaufort County,Beaufort,SC)
(Beaumont Municipal,Beaumont,TX)
(Beauregard Parish,De Ridder,LA)
(Beaver,Beaver,AK)
(Beaver County,Beaver Falls,PA)
(Beaver Island,St James,MI)
(Beaver Municipal,Beaver,OK)
(Beaver Municipal,Beaver,UT)
(Bedford County,Bedford,PA)
(Beeville Municipal,Beeville,TX)
(Belfast Municipal,Belfast,ME)
(Belle Fourche Municipal,Belle Fourche,SD)
(Belle Glade Municipal,Belle Glade,FL)
(Belle Plaine Municipal,Belle Plaine,IA)
(Bellefontaine Municipal,Bellefontaine,OH)
(Belleville Municipal,Belleville,KS)
(Bellingham Intl,Bellingham,WA)
(Belzoni Municipal,Belzoni,MS)
(Bemidji-Beltrami County,Bemidji,MN)
(Benchmark,Benchmark,MT)
(Bend Muni,Bend,OR)
(Benedum,Clarksburg,WV)
(Benjamin Rivera Noriega,Isla De Culebra,PR)
(Benson Municipal,Benson,AZ)
(Benson Municipal,Benson,MN)
(Benton ,Redding,CA)
(Benton County,Camden,TN)
(Benton Municipal,Benton,IL)
(Bentonville Municipal,Bentonville,AR)
(Berkeley County,Moncks Corner,SC)
(Berlin Municipal,Berlin,NH)
(Bermuda Dunes,Palm Springs,CA)
(Berrien County,Nashville,GA)
(Bert Mooney,Butte,MT)
(Berz-Macomb,Utica,MI)
(Bessemer Municipal,Bessemer,AL)
(Bethel,Bethel,AK)
(Bettles,Bettles,AK)
(Beverly Municipal,Beverly,MA)
(Bibb County,Centreville,AL)
(Biddeford Municipal,Biddeford,ME)
(Big Bear City,Big Bear,CA)
(Big Lake Strip Nr 2,Big Lake,AK)
(Big Piney-Marbleton,Big Piney,WY)
(Big Sandy,Big Sandy,MT)
(Big Sandy Regional,Prestonburg,KY)
(Big Sky ,Culbertson,MT)
(Big Spring McMahon-Wrinkle,Big Spring,TX)
(Big Timber,Big Timber,MT)
(Billings Logan Intl,Billings,MT)
(Billy G Ray ,Chappell,NE)
(Billy Mitchell,Hatteras,NC)
(Binghamton Regional,Binghamton,NY)
(Birch Creek,Birch Creek,AK)
(Birchwood,Birchwood,AK)
(Birmingham International,Birmingham,AL)
(Bisbee Douglas International,Douglas Bisbee,AZ)
(Bisbee Municipal,Bisbee,AZ)
(Bishop,Bishop,CA)
(Bishop,Flint,MI)
(Bismarck Municipal,Bismarck,ND)
(Bison Municipal,Bison,SD)
(Black Hills-Clyde Ice ,Spearfish,SD)
(Black River Falls Area,Black River Falls,WI)
(Black Rock,Zuni,NM)
(Blackhawk Airfield,Madison,WI)
(Blackwell ,Ozark,AL)
(Blackwell-Tonkawa Municipal,Blackwell-Tonkawa,OK)
(Blair Municipal,Blair,NE)
(Blairstown,Blairstown,NJ)
(Blairsville,Blairsville,GA)
(Blake ,Delta,CO)
(Blanding Muni,Blanding,UT)
(Block Island State,Block Island,RI)
(Bloomfield Municipal,Bloomfield,IA)
(Bloomsburg Muni,Bloomsburg,PA)
(Blosser Municipal,Concordia,KS)
(Blue Earth Municipal,Blue Earth,MN)
(Blue Grass ,Lexington,KY)
(Blue Ridge,Martinsville,VA)
(Bluffton,Bluffton,OH)
(Blythe,Blythe,CA)
(Blytheville Municipal,Blytheville,AR)
(Boardman,Boardman,OR)
(Bob Baker Memorial,Kiana,AK)
(Bob Sikes,Crestview,FL)
(Bob Wiley ,Winner,SD)
(Bobby L. Chain Municipal,Hattiesburg,MS)
(Boca Raton,Boca Raton,FL)
(Boeing Field/King County Intl,Seattle,WA)
(Boire ,Nashua,NH)
(Boise Air Terminal,Boise,ID)
(Boise City,Boise City,OK)
(Bolivar Municipal,Bolivar,MO)
(Bolton ,Columbus,OH)
(Bomar Field-Shelbyville Municipal,Shelbyville,TN)
(Boone County,Harrison,AR)
(Boone Municipal,Boone,IA)
(Booneville-Baldwyn,Booneville,MS)
(Boonville,Boonville,CA)
(Borrego Valley,Borrego Springs,CA)
(Boscobel,Boscobel,WI)
(Bottineau Municipal,Bottineau,ND)
(Boulder City Municipal,Boulder City,NV)
(Boulder Muni,Boulder,CO)
(Boundary,Boundary,AK)
(Boundary County,Bonners Ferry,ID)
(Bowerman,Hoquiam,WA)
(Bowers ,Ellensburg,WA)
(Bowie Municipal,Bowie,TX)
(Bowling Green Municipal,Bowling Green,MO)
(Bowling Green-Warren County ,Bowling Green,KY)
(Bowman ,Anaconda,MT)
(Bowman ,Louisville,KY)
(Bowman Municipal,Bowman,ND)
(Boyceville Municipal ,Boyceville,WI)
(Brackett ,La Verne,CA)
(Bradford County,Towanda,PA)
(Bradford Reg,Bradford,PA)
(Bradley International,Windsor Locks,CT)
(Brainerd-Crow Wing County Regional,Brainerd,MN)
(Branch County Memorial,Coldwater,MI)
(Brandywine,West Chester,PA)
(Brantley County,Nahunta,GA)
(Brawley Municipal,Brawley,CA)
(Braxton County,Sutton,WV)
(Brazoria County,Angleton,TX)
(Breckenridge Stephens County,Breckenridge,TX)
(Breckinridge County,Hardinsburg,KY)
(Bremerton National,Bremerton,WA)
(Brenham Municipal,Brenham,TX)
(Brenner ,Falls City,NE)
(Brevig Mission,Brevig Mission,AK)
(Brewster ,Holdredge,NE)
(Brewton Municipal,Brewton,AL)
(Bridgeport Municipal,Bridgeport,TX)
(Brigham City,Brigham City,UT)
(Britton Municipal,Britton,SD)
(Broadus,Broadus,MT)
(Broken Bow Municipal,Broken Bow,NE)
(Brookhaven,Shirley,NY)
(Brookhaven-Lincoln County,Brookhaven,MS)
(Brookings,Brookings,OR)
(Brookings Municipal,Brookings,SD)
(Brookneal/Campbell County,Brookneal,VA)
(Brooks ,Marshall,MI)
(Brooks County,Falfurrias,TX)
(Brown  Municipal,San Diego,CA)
(Brown County,Georgetown,OH)
(Brownsville,Brownsville,CA)
(Brownsville/S.Padre Island International,Brownsville,TX)
(Brownwood Municipal,Brownwood,TX)
(Bruce Campbell ,Madison,MS)
(Brunswick County,Southport,NC)
(Bryant ,Bridgeport,CA)
(Bryce Canyon,Bryce Canyon,UT)
(Buchanan ,Concord,CA)
(Buckeye Municipal,Buckeye,AZ)
(Buckland,Buckland,AK)
(Buena Vista Muni,Buena Vista,CO)
(Buffalo Airfield,Buffalo,NY)
(Buffalo Municipal,Buffalo,MN)
(Buffalo Municipal,Buffalo,OK)
(Buffalo Niagara Intl,Buffalo,NY)
(Buhl Municipal,Buhl,ID)
(Burbank-Glendale-Pasadena,Burbank,CA)
(Burke County,Waynesboro,GA)
(Burke Lakefront,Cleveland,OH)
(Burley Municipal,Burley,ID)
(Burlington International,Burlington,VT)
(Burlington Municipal,Burlington,IA)
(Burlington Municipal,Burlington,NC)
(Burlington Municipal,Burlington,WI)
(Burnet Muni-Kate Craddock ,Burnet,TX)
(Burnett County,Siren,WI)
(Burns Muni,Burns,OR)
(Bush ,Augusta,GA)
(Butler Cty,Butler,PA)
(Butler Memorial,Butler,MO)
(Butler Municipal,Butler,GA)
(Butler-Choctaw County,Butler,AL)
(Butte Valley,Dorris,CA)
(Byerley,Lake Providence,LA)
(Byron,Byron,CA)
(C A Moore,Lexington,MS)
(C Davis Campbell -Corsicana Muni,Corsicana,TX)
(Cable,Upland,CA)
(Cable Union,Cable,WI)
(Cabool Memorial,Cabool,MO)
(Caddo Mills Municipal,Caddo Mills,TX)
(Cairo,Cairo,IL)
(Cairo-Grady County,Cairo,GA)
(Cal Black Memorial,Halls Crossing,UT)
(Calaveras Co-Maury Rasmussen ,San Andreas,CA)
(Caldwell Industrial,Caldwell (Boise),ID)
(Caledonia County State,Lyndonville,VT)
(Calexico International,Calexico,CA)
(Calhoun County,Pittsboro,MS)
(Calhoun County,Port Lavaca,TX)
(Calico Rock-Izard County,Calico Rock,AR)
(California City Municipal,California City,CA)
(Callaway Gardens-Harris County,Pine Mountain,GA)
(Camarillo,Camarillo,CA)
(Cambridge Municipal,Cambridge,MN)
(Cambridge Municipal,Cambridge,NE)
(Cambridge Municipal,Cambridge,OH)
(Cambridge-Dorchester,Cambridge,MD)
(Camden,Berlin,NJ)
(Camden Municipal,Camden,AL)
(Camdenton Memorial,Camdenton,MO)
(Cameron Airpark,Cameron Park,CA)
(Cameron Memorial,Cameron,MO)
(Cameron Municipal Airpark,Cameron,TX)
(Camilla-Mitchell County,Camilla,GA)
(Campbell,Chicago/Round Lake Park,IL)
(Campbell County,Jacksboro,TN)
(Canandaiga,Canandaiga,NY)
(Cando Municipal,Cando,ND)
(Canton -Plymouth -  Mettetal,Plymouth,MI)
(Canton Municipal,Canton,SD)
(Canyonlands ,Moab,UT)
(Cape Girardeau Municipal,Cape Girardeau,MO)
(Cape May Cty ,Wildwood,NJ)
(Capital,Springfield,IL)
(Capital City,Frankfort,KY)
(Capital City,Harrisburg,PA)
(Capital City,Lansing,MI)
(Capitol,Brookfield,WI)
(Captain Jack Thomas,El Dorado,KS)
(Captain Walter Francis Duke Regional ,Leonardtown,MD)
(Carbon County,Price,UT)
(Carbon Cty-Jake Arner Memorial,Lehighton,PA)
(Caribou Municipal,Caribou,ME)
(Carl Folsom,Elba,AL)
(Carl R. Keller ,Port Clinton,OH)
(Carlisle Municipal,Carlisle,AR)
(Carmi Municipal,Carmi,IL)
(Carnegie Municipal,Carnegie,OK)
(Caro Municipal,Caro,MI)
(Carrington Municipal,Carrington,ND)
(Carrizozo Municipal,Carrizozo,NM)
(Carroll County,Berryville,AR)
(Carroll County,Huntingdon,TN)
(Carroll County,Westminster,MD)
(Carroll County-Tolson,Carrollton,OH)
(Carson,Carson City,NV)
(Cartersville,Cartersville,GA)
(Carthage-Leake County,Carthage,MS)
(Caruthersville Memorial,Caruthersville,MO)
(Casa Grande Municipal,Casa Grande,AZ)
(Cascade,Cascade,ID)
(Casey Municipal,Casey,IL)
(Cashmere-Dryden,Cashmere,WA)
(Casselton Regional,Casselton,ND)
(Cassville Municipal,Cassville,MO)
(Castle,Atwater,CA)
(Castroville Municipal,Castroville,TX)
(Catalina,Avalon,CA)
(Cavalier Municipal,Cavalier,ND)
(Cavern City Air Terminal,Carlsbad,NM)
(Cecil ,Jacksonville,FL)
(Cedar City Muni,Cedar City,UT)
(Cedarville,Cedarville,CA)
(Centennial,Denver,CO)
(Center Municipal,Center,TX)
(Centerville Municipal,Centerville,IA)
(Centerville Municipal,Centerville,TN)
(Central,Central,AK)
(Central City Municipal,Central City,NE)
(Central Illinois Regional,Bloomington,IL)
(Central Jersey Regional,Manville,NJ)
(Central Maine ,Norridgewock,ME)
(Central Nebraska Regional ,Grand Island,NE)
(Central Wisconsin,Mosinee,WI)
(Centralia Municipal,Centralia,IL)
(Centre Municipal,Centre,AL)
(Chadron Municipal,Chadron,NE)
(Chalkyitsik,Chalkyitsik,AK)
(Challis,Challis,ID)
(Chamberlain Municipal,Chamberlain,SD)
(Chambers County,Anahauac,TX)
(Chambers County,Winnie/Stowell,TX)
(Chambersburg Muni,Chambersburg,PA)
(Chan Gurney Municipal,Yankton,SD)
(Chandalar Lake,Chandalar Lake,AK)
(Chandalar Shelf,Chandalar Camp,AK)
(Chandler ,Alexandria,MN)
(Chandler Municipal,Chandler,AZ)
(Chandler Municipal,Chandler,OK)
(Chanute,Rantoul,IL)
(Chanute Martin Johnson,Chanute,KS)
(Chariton Municipal,Chariton,IA)
(Charles City Municipal,Charles City,IA)
(Charles W. Baker,Millington,TN)
(Charleston AFB/International,Charleston,SC)
(Charleston Executive,Charleston,SC)
(Charleston Municipal,Charleston,MS)
(Charlevoix Municipal,Charlevoix,MI)
(Charlotte Amalie Harbor Seaplane Base,Charlotte Amalie,VI)
(Charlotte County,Punta Gorda,FL)
(Charlotte/Douglas International,Charlotte,NC)
(Charlottesville-Albermarle,Charlottesville,VA)
(Chase City Municipal,Chase City,VA)
(Chatham Municipal,Chatham,MA)
(Chautauqua Cty,Jamestown,NY)
(Cheboygan City-County,Cheboygan,MI)
(Chefornak,Chefornak,AK)
(Chehalis-Centralia,Chehalis,WA)
(Chelan Muni,Chelan,WA)
(Chemehuevi Valley,Chemehuevi Valley,CA)
(Chenega Bay,Chenega,AK)
(Chennault International ,Lake Charles,LA)
(Cheraw Municipal,Cheraw,SC)
(Cherokee County,Canton,GA)
(Cherokee Municipal,Cherokee,IA)
(Cherokee Municipal,Cherokee,OK)
(Cherokee Nation,Stilwell,OK)
(Cherry Capital,Traverse City,MI)
(Cherry Ridge,Honesdale,PA)
(Chesapeake Municipal,Norfolk,VA)
(Chess-Lamberton,Franklin,PA)
(Chester,Chester,CT)
(Chester Cty-G O Carlson,Coatesville,PA)
(Chester Municipal,Chester,SC)
(Chesterfield County,Richmond,VA)
(Chevak,Chevak,AK)
(Cheyenne,Cheyenne,WY)
(Cheyenne County Municipal,St Francis,KS)
(Cheyenne Eagle Butte,Eagle Butte,SD)
(Chicago Meigs,Chicago,IL)
(Chicago Midway,Chicago,IL)
(Chicago O'Hare International,Chicago,IL)
(Chickasha Municipal,Chickasha,OK)
(Chicken,Chicken,AK)
(Chico Municipal,Chico,CA)
(Chignik (Anchorage Bay),Chignik,AK)
(Chignik Lagoon,Chignik Flats,AK)
(Chignik Lake,Chignik Lake,AK)
(Chillicothe Municipal,Chillicothe,MO)
(Chiloquin State,Chiloquin,OR)
(Chinle Municipal,Chinle,AZ)
(Chino,Chino,CA)
(Chippewa County International,Sault Ste. Marie,MI)
(Chippewa Valley Regional,Eau Claire,WI)
(Chisana,Chisana,AK)
(Chisholm-Hibbing,Hibbing,MN)
(Chitina,Chitina,AK)
(Choteau,Choteau,MT)
(Chowchilla,Chowchilla,CA)
(Christiansted Harbor Seaplane Base,Christiansted,VI)
(Christmas Valley,Christmas Valley,OR)
(Chuathbaluk,Chuathbaluk,AK)
(Cibecue,Cibecue,AZ)
(Cimarron Municipal,Cimarron,KS)
(Cincinnati Muni-Lunken ,Cincinnati,OH)
(Cincinnati Northern Kentucky Intl,Covington,KY)
(Cincinnati West,Harrison,OH)
(Cincinnati-Blue Ash,Cincinnati,OH)
(Circle City,Circle,AK)
(Circle Hot Springs,Circle Hot Springs,AK)
